"latitude","longitude","year","month","frp","daynight"
-20.3748,122.1025,"2017","06",710.1,"D"
-20.2691,122.2332,"2017","06",511.5,"D"
-20.2518,122.2781,"2017","06",529.9,"D"
-20.2765,122.2374,"2017","06",707.6,"D"
-20.2675,122.2746,"2017","06",803.7,"D"
-20.2742,122.3077,"2017","06",788.2,"D"
-20.2833,122.271,"2017","06",855.2,"D"
-20.5725,123.0571,"2017","06",554.2,"D"
-31.1288,115.7014,"2017","06",668.5,"D"
-31.1266,115.7282,"2017","06",829.7,"D"
-17.7525,125.0883,"2017","06",517.5,"D"
-17.7511,125.0985,"2017","06",530,"D"
-18.9163,131.4065,"2017","06",756.2,"D"
-18.918,131.4173,"2017","06",807.1,"D"
-32.8705,116.5763,"2017","06",1059.5,"D"
-19.0175,131.2461,"2017","06",840.4,"D"
-19.0229,131.2382,"2017","06",547.6,"D"
-22.0089,129.8335,"2017","06",747.7,"D"
-22.0213,129.8362,"2017","06",727.2,"D"
-22.1067,129.6706,"2017","06",543.4,"D"
-22.0472,129.7216,"2017","06",740.7,"D"
-22.1215,129.703,"2017","06",645.1,"D"
-22.1301,129.7382,"2017","06",723.5,"D"
-20.0175,128.0767,"2017","06",621.3,"D"
-21.4692,132.2892,"2017","06",840.2,"D"
-21.4672,132.2843,"2017","06",723.6,"D"
-16.0041,128.843,"2017","06",685.2,"D"
-22.7668,130.6479,"2017","07",673.5,"D"
-22.2292,146.6149,"2017","07",590.4,"D"
-12.463,131.3207,"2017","07",502.1,"D"
-14.5365,132.4055,"2017","07",577.4,"D"
-14.5342,132.4197,"2017","07",1053.2,"D"
-13.8694,133.6908,"2017","07",887,"D"
-13.7724,133.6225,"2017","07",531.1,"D"
-11.4931,130.4878,"2017","07",587.1,"D"
-14.8069,141.6001,"2017","07",828.7,"D"
-13.2615,142.4772,"2017","07",537.2,"D"
-21.4333,132.3145,"2017","07",594.4,"D"
-21.4349,132.3217,"2017","07",567.1,"D"
-16.3764,135.5773,"2017","07",541.4,"D"
-12.4858,131.6765,"2017","07",540.1,"D"
-12.4888,131.6589,"2017","07",830.5,"D"
-11.574,131.0638,"2017","07",630.7,"D"
-12.573,132.0632,"2017","07",737.2,"D"
-18.5666,122.0342,"2017","07",738.9,"D"
-18.5744,122.0237,"2017","07",679.9,"D"
-18.5424,130.1421,"2017","07",665.5,"D"
-22.4732,131.0582,"2017","07",1592.7,"D"
-22.5826,130.9966,"2017","07",926.7,"D"
-22.5847,130.9768,"2017","07",1496.2,"D"
-22.5721,130.9753,"2017","07",1335.5,"D"
-22.545,130.9922,"2017","07",584.9,"D"
-22.549,130.9524,"2017","07",1518.3,"D"
-22.5511,130.9324,"2017","07",1011.3,"D"
-22.5365,130.9509,"2017","07",2396.7,"D"
-22.5486,130.9472,"2017","07",1443.8,"D"
-22.5339,130.9656,"2017","07",741.1,"D"
-22.536,130.9457,"2017","07",2173.7,"D"
-12.5367,142.8362,"2017","07",521.9,"D"
-23.0836,148.4189,"2017","07",539.7,"D"
-23.2822,131.7995,"2017","07",792.6,"D"
-22.217,115.4941,"2017","07",516,"D"
-22.2171,115.4986,"2017","07",615.7,"D"
-19.9077,125.398,"2017","07",575,"D"
-25.1713,126.6394,"2017","07",537.6,"D"
